block_geoid,pop
360050117012008,0
360050117020001,0
360050117020003,0
360050117021010,0
360050117021012,0
360050117021013,0
360050117021014,0
360050117021019,0
360050117021020,0
360050117020002,0
360050117021000,0
360050117021001,0
360050117021002,0
360050117021003,0
360050117021004,0
360050117021005,0
360050117021006,0
360050117021007,0
360050117021008,0
360050117021009,0
360050117021011,0
360050117021015,0
360050117021016,0
360050117021017,0
360050117021021,0
360050117021022,0
360050117021018,0
360050118003011,104
360050118001004,459
360050118001005,111
360050118001015,0
360050118002000,0
360050118002014,45
360050118002017,76
360050118002018,33
360050118002019,41
360050118002026,21
360050118002027,59
360050118003003,156
360050118003004,108
360050118000001,0
360050118000002,0
360050118000003,0
360050118001010,0
360050118002001,24
360050118002005,0
360050118002006,31
360050118002024,21
360050118003007,129
360050118003008,35
360050118003010,86
360050118003012,67
360050118003009,0
360050118000004,0
360050118000005,0
360050118001000,69
360050118001001,190
360050118001002,140
360050118001003,289
360050118001006,1128
360050118001007,0
360050118001008,0
360050118001009,0
360050118001011,0
360050118001012,238
360050118001013,0
360050118001014,16
360050118002002,49
360050118002003,60
360050118002004,87
360050118002007,67
360050118002008,37
360050118002009,43
360050118002010,184
360050118002011,39
360050118002012,21
360050118002013,34
360050118002015,41
360050118002016,48
360050118002020,20
360050118002021,45
360050118002022,30
360050118002023,31
360050118002025,0
360050118002028,39
360050118002029,0
360050118003000,207
360050118003001,121
360050118003002,195
360050118003005,99
360050118003006,151
360050119001002,0
360050119002001,321
360050119001000,876
360050119001001,1223
360050119002000,622
360050119002002,0
360050119002003,101
360050119003000,746
360050119004000,853
360050119005000,267
360050119005001,694
360050121011003,383
360050121012001,240
360050121011000,185
360050121011001,743
360050121011002,151
360050121012000,0
360050121012002,225
360050121012003,297
360050121012004,522
360050121012005,215
360050121012006,358
360050121021001,655
360050121021002,381
360050121021004,179
360050121021000,315
360050121021003,86
360050123005001,0
360050123006000,29
360050123006003,0
360050123002000,429
360050123001001,1044
360050123001002,520
360050123002001,418
360050123001000,428
360050123002002,156
360050123002003,531
360050123003000,392
360050123003001,801
360050123004000,0
360050123005000,18
360050123005002,0
360050123005003,0
360050123005004,0
360050123006001,0
360050123006002,0
360050123006004,0
360050123006005,0
360050125001002,391
360050125002005,194
360050125002001,393
360050125002002,65
360050125002003,448
360050125002004,340
360050125001001,749
360050125001003,265
360050125001004,357
360050125001005,156
360050125001006,408
360050125001007,25
360050125002000,144
360050125001000,204
360050127011002,122
360050127011000,0
360050127011001,848
360050127011003,248
360050127011004,0
360050127012000,228
360050127012001,410
360050127012002,328
360050129012003,946
360050129011000,0
360050129011001,29
