Borough,ClosureType,EditDate,GISpropNum,OMPpropID,Red Sign Installed,Status,accessibility,accessibilityLevel,location,name,rules,system,Approx Date Closed,Approx Date Reopened,Community Board,District,Latitude,Longitude,Point
Q,Completely Locked,06/22/2020 03:15:05 PM,Q067A,Q067A,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Broadway, 37 Ave. bet. 65 St. and 69 St.",General Hart Playground,Adults Allowed,Q067A-CPA-0001,03/31/2020,,402,Q-02,40.74878692626953,-73.89746856689453,POINT (-73.89746856689453 40.74878692626953)
B,Completely Locked,06/22/2020 01:55:05 PM,B337,B337,,Active,No,Not Applicable,W. Brighton Ave. between W. 2 St. and W. 3 St.,Century Playground,Adults not allowed in some locations,B337-CPA-0002,03/31/2020,06/22/2020,313,B-13,40.577171325683594,-73.97115325927734,POINT (-73.97115325927734 40.577171325683594)
B,Completely Locked,06/22/2020 03:28:45 PM,B052,B052-01,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"66-67 Sts, 5th Ave",Millennium Playground,Unknown,B052-CPA-0001,03/31/2020,06/22/2020,310,B-10,40.6356086730957,-74.01952362060547,POINT (-74.01952362060547 40.6356086730957)
M,Completely Locked,06/22/2020 04:11:41 PM,M154,M154,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,W. 45 St. bet. 9 Ave. and 10 Ave.,Mathews-Palmer Playground,Adults Allowed,M154-CPA-0001,03/31/2020,06/21/2020,104,M-04,40.76129150390625,-73.99285888671875,POINT (-73.99285888671875 40.76129150390625)
Q,Completely Locked,06/22/2020 01:28:32 PM,Q332,Q332,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,20 Ave. bet. 37 St. and 38 St.,Woodtree Playground,Adults Allowed,Q332-CPA-0001,03/31/2020,06/22/2020,401,Q-01,40.777347564697266,-73.90254974365234,POINT (-73.90254974365234 40.777347564697266)
B,Completely Locked,06/22/2020 11:36:38 AM,B103,B103,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Euclid Ave. bet. Dumont Ave. and Blake Ave.,Cypress Hills Playground,Adults Allowed,B103-CPA-0001,03/31/2020,06/20/2020,305,B-05,40.67070007324219,-73.87120056152344,POINT (-73.87120056152344 40.67070007324219)
M,Completely Locked,06/19/2020 10:11:14 AM,M105,M105-04,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Rivington St,Rivington St Plgd,Adults Allowed,M105-CPA-0002,03/31/2020,06/19/2020,103,M-03,40.721336364746094,-73.99176788330078,POINT (-73.99176788330078 40.721336364746094)
B,Completely Locked,06/22/2020 03:08:09 PM,B025,B025-01,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Sharon & Olive Sts, Morgan Ave",Carnegie Plgd,Adults not allowed in some locations,B025-CPA-0001,03/31/2020,06/21/2020,301,B-01,40.71596145629883,-73.93740844726562,POINT (-73.93740844726562 40.71596145629883)
M,Completely Locked,06/22/2020 04:02:37 PM,M386,M386,,Active,No,Not Applicable,"Front St., John St., and South St.",Imagination Playground,Adults Allowed,M386-CPA-0001,03/31/2020,06/21/2020,101,M-01,40.70635223388672,-74.00431823730469,POINT (-74.00431823730469 40.70635223388672)
X,Partially Locked,06/22/2020 09:57:37 AM,X164,X164,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Rogers Pl. at Dawson St.,Dawson Playground,Adults Allowed,X164-CPA-0001,03/31/2020,06/21/2020,202,X-02,40.81945037841797,-73.8983383178711,POINT (-73.8983383178711 40.81945037841797)
M,Partially Locked,06/22/2020 03:30:27 PM,M087,M087,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Riverside Dr., Claremont Ave. To W. 122 St.",Sakura Park,Adults not allowed in some locations,M087-CPA-0001,03/31/2020,06/21/2020,109,M-14,40.81291580200195,-73.96253967285156,POINT (-73.96253967285156 40.81291580200195)
B,Completely Locked,06/22/2020 12:22:58 PM,B078,B078,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Vermont St. bet. Pitkin Ave. and Belmont Ave.,Grace Playground,Adults Allowed,B078-CPA-0001,03/31/2020,06/20/2020,305,B-05,40.67188262939453,-73.89450073242188,POINT (-73.89450073242188 40.67188262939453)
Q,Partially Locked,06/23/2020 09:23:48 AM,Q122,Q122,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,34 Ave. bet. 96 St. and Junction Blvd.,Junction Playground,Adults Allowed,Q122-CPA-0001,03/31/2020,06/23/2020,403,Q-03,40.75470733642578,-73.87214660644531,POINT (-73.87214660644531 40.75470733642578)
M,Completely Locked,06/22/2020 11:20:25 AM,M010,M010-188,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,93 St & Central Park West,Wild West Plgd,Unknown,M010-CPA-0014,03/31/2020,06/21/2020,164,M-13,40.789886474609375,-73.96543884277344,POINT (-73.96543884277344 40.789886474609375)
Q,Partially Locked,06/21/2020 11:31:08 AM,Q293,Q293,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,56 Ave. bet. 201 St. and 202 St.,Saul Weprin Playground,Adults Allowed,Q293-CPA-0001,03/31/2020,06/21/2020,411,Q-11,40.748497009277344,-73.77632141113281,POINT (-73.77632141113281 40.748497009277344)
R,Completely Locked,06/22/2020 02:36:21 PM,R085,R085,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Edith Ave. at Irvington St.,E.M.T. Christopher J. Prescott Playground,Adults Allowed,R085-CPA-0001,03/31/2020,,503,R-03,40.522342681884766,-74.18595123291016,POINT (-74.18595123291016 40.522342681884766)
B,Completely Locked,06/23/2020 10:01:04 AM,B216,B216,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Marcus Garvey Blvd. bet. Monore St. and Madison St.,Raymond Bush Playground,Adults Allowed,B216-CPA-0001,03/31/2020,06/22/2020,303,B-03,40.686485290527344,-73.93895721435547,POINT (-73.93895721435547 40.686485290527344)
Q,Partially Locked,06/21/2020 03:03:32 PM,Q413,Q413-02,,Active,Yes,Level 1: Playgrounds for All Children,Nr Guy Brewer Blvd & 134 Ave,Rochdale Park Playground,Adults not allowed in some locations,Q413-CPA-0001,03/31/2020,06/21/2020,412,Q-12,40.67417907714844,-73.77532196044922,POINT (-73.77532196044922 40.67417907714844)
Q,Completely Locked,06/21/2020 06:41:49 PM,Q002,Q002,,Active,No,Not Applicable,Stanhope St. bet. Fairvier Ave. and Grandview Ave.,Grover Cleveland Playground,Adults not allowed in some locations,Q002-CPA-0001,03/31/2020,06/21/2020,405,Q-05,40.71146011352539,-73.91102600097656,POINT (-73.91102600097656 40.71146011352539)
M,Completely Locked,06/22/2020 04:31:37 PM,M225,M225,,,,,E. 120 St. bet. 1 Ave. and 2 Ave.,Wagner Playground,,,03/31/2020,,111,M-11,40.799774169921875,-73.93492126464844,POINT (-73.93492126464844 40.799774169921875)
M,Completely Locked,06/22/2020 11:05:46 AM,M244,M244,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Columbus Ave., W. 91 St. To W. 92 St., Central Park W.",Sol Bloom Playground,Adults Allowed,M244-CPA-0001,03/31/2020,06/21/2020,107,M-07,40.7897834777832,-73.96878814697266,POINT (-73.96878814697266 40.7897834777832)
M,Completely Locked,06/22/2020 11:48:07 AM,M037,M037-03,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,W 180 St & Amsterdam Ave,Quisqueya Plgd,Adults Allowed,M037-CPA-0001,03/31/2020,06/21/2020,112,M-12A,40.847129821777344,-73.93116760253906,POINT (-73.93116760253906 40.847129821777344)
B,Completely Locked,06/22/2020 03:45:07 PM,B306,B306,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Ave. Y between Brown St. and Haring St.,Playground 286,Adults Allowed,B306-CPA-0001,03/31/2020,06/22/2020,315,B-15,40.59073257446289,-73.93833923339844,POINT (-73.93833923339844 40.59073257446289)
X,Completely Locked,06/22/2020 09:47:28 AM,X153,X153-02,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Merriam & Ogden Aves, W 168 St, University",Merriam Plgd (Lower),Adults not allowed in some locations,X153-CPA-0002,03/31/2020,06/21/2020,204,X-04,40.839210510253906,-73.92620086669922,POINT (-73.92620086669922 40.839210510253906)
R,Completely Locked,06/22/2020 04:52:16 PM,R144,R144,,Active,No,Not Applicable,"Bowen St., Vanderbilt Ave., Targee St.",Sobel Court Park,Adults not allowed in some locations,R144-CPA-0001,03/31/2020,06/22/2020,501,R-01,40.61479949951172,-74.0832290649414,POINT (-74.0832290649414 40.61479949951172)
B,Completely Locked,06/22/2020 01:39:23 PM,B236,B236,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Ralph Ave. and Farragut Rd.,Glenwood Playground,Adults Allowed,B236-CPA-0001,03/31/2020,06/22/2020,318,B-18,40.63650894165039,-73.92019653320312,POINT (-73.92019653320312 40.63650894165039)
Q,Partially Locked,06/23/2020 12:29:08 PM,Q399,Q399,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,23 Ave. bet. 212 St. and Bell Blvd.,Bay Terrace Playground,Adults Allowed,Q399-CPA-0001,03/31/2020,06/23/2020,407,Q-07,40.78252029418945,-73.7773666381836,POINT (-73.7773666381836 40.78252029418945)
M,Completely Locked,06/19/2020 10:07:19 AM,M228,M228,Yes,,,,,Henry M Jackson Playground,,,03/31/2020,06/19/2020,103,M-03,40.71395492553711,-73.98168182373047,POINT (-73.98168182373047 40.71395492553711)
M,Completely Locked,06/22/2020 10:46:26 AM,M056,M056-02,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,W 117 St & Morningside Ave,Morningside Plgd,Unknown,M056-CPA-0002,03/31/2020,06/21/2020,109,M-09,40.807037353515625,-73.95775604248047,POINT (-73.95775604248047 40.807037353515625)
Q,Completely Locked,06/22/2020 04:52:33 PM,Q051,Q051-01,,Active,No,Not Applicable,174 St & 113 Ave,174 St Playground,Adults not allowed in some locations,Q051-CPA-0001,03/31/2020,,412,Q-12,40.693580627441406,-73.77799987792969,POINT (-73.77799987792969 40.693580627441406)
B,Partially Locked,06/22/2020 03:29:41 PM,B128,B128,,Active,No,Not Applicable,Ave. P bet. E. 4 St. and Ocean Pkwy.,Colonel David Marcus Playground,Adults Allowed,B128-CPA-0001,03/31/2020,06/22/2020,312,B-12,40.61026382446289,-73.96878051757812,POINT (-73.96878051757812 40.61026382446289)
B,Completely Locked,06/22/2020 03:10:08 PM,B223R,B223R,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,"Hope St., Marcy Ave., Metropolitan Ave.",Jaime Campiz Playground,Adults Allowed,B223R-CPA-0001,03/31/2020,06/21/2020,301,B-01,40.71372985839844,-73.95420837402344,POINT (-73.95420837402344 40.71372985839844)
Q,Completely Locked,06/23/2020 09:27:35 AM,Q361,Q361,,Active,No,Not Applicable,"Broadway., 82 St., 45 Ave.",Moore Homestead Playground,Adults Allowed,Q361-CPA-0001,03/31/2020,,404,Q-04,40.7421760559082,-73.88274383544922,POINT (-73.88274383544922 40.7421760559082)
R,Completely Locked,06/22/2020 04:54:45 PM,R035,R035,,Active,No,Not Applicable,"Tompkins Ave., bet. Chestnut St. and Shaughnessy La.",De Matti Park,Unknown,R035-CPA-0001,03/31/2020,06/22/2020,501,R-01,40.61492919921875,-74.07342529296875,POINT (-74.07342529296875 40.61492919921875)
X,Partially Locked,06/22/2020 09:37:49 AM,X217,X217,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,E 141 St to E 140 St bet. Willis Av and Alexander Av,Willis Playground,Adults Allowed,X217-CPA-0001,03/31/2020,06/21/2020,201,X-01,40.81107711791992,-73.9224624633789,POINT (-73.9224624633789 40.81107711791992)
Q,Completely Locked,06/22/2020 06:27:29 PM,Q226,Q226-01,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Vernon Blvd, Main Ave",Hallets Cove Playground (area A),Adults Allowed,Q226-CPA-0001,03/31/2020,06/22/2020,401,Q-01,40.771820068359375,-73.9344482421875,POINT (-73.9344482421875 40.771820068359375)
B,Completely Locked,06/22/2020 01:31:48 PM,B247,B247-01,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Louisiana & Flatlands Ave,Breukelen Plgd,Unknown,B247-CPA-0001,03/31/2020,06/22/2020,318,B-18,40.653629302978516,-73.8939208984375,POINT (-73.8939208984375 40.653629302978516)
X,Completely Locked,06/22/2020 09:31:44 AM,X131,X131,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,E 135 St bet. Alexander Av and Willis Av,Lozada Playground,Adults Allowed,X131-CPA-0001,03/31/2020,06/21/2020,201,X-01,40.807769775390625,-73.92500305175781,POINT (-73.92500305175781 40.807769775390625)
M,Completely Locked,06/22/2020 03:15:31 PM,M125B,M125B,,Active,No,Not Applicable,"Minetta Lane, W. 3 St. and Ave. of Americas",Minetta Playground,Adults not allowed in some locations,M125B-CPA-0001,03/31/2020,,102,M-02,40.730796813964844,-74.00126647949219,POINT (-74.00126647949219 40.730796813964844)
X,Not Lockable,07/06/2020 12:51:06 PM,X264,X264,Yes,,,,,Fields of Dream Park,,,03/31/2020,07/06/2020,202,X-02,40.82658386230469,-73.89228057861328,POINT (-73.89228057861328 40.82658386230469)
X,Completely Locked,06/22/2020 10:30:43 AM,X013,X013-01,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"University Ave & Fr Zeiser Pl, Near W 188 St",Devoe Park,Adults Allowed,X013-CPA-0001,03/31/2020,06/21/2020,207,X-05,40.86396026611328,-73.9046401977539,POINT (-73.9046401977539 40.86396026611328)
B,Completely Locked,06/22/2020 03:29:41 PM,B162,B162,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"10 Ave., New Utrecht Ave. bet. 43 St. and 42 St.",Brizzi Playground,Adults Allowed,B162-CPA-0001,03/31/2020,06/22/2020,312,B-12,40.64229202270508,-73.9945297241211,POINT (-73.9945297241211 40.64229202270508)
X,Partially Locked,07/06/2020 12:50:06 PM,X228,X228,Yes,,,,,I Am Park,,,03/31/2020,07/06/2020,201,X-01,40.81131362915039,-73.9102554321289,POINT (-73.9102554321289 40.81131362915039)
X,Partially Locked,06/22/2020 10:02:38 AM,X211,X211,,,,,,Stebbins Playground,,,03/31/2020,06/21/2020,202,X-02,40.82276916503906,-73.89851379394531,POINT (-73.89851379394531 40.82276916503906)
B,Completely Locked,06/22/2020 03:35:50 PM,B284,B284,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Sterling St., Empire Blvd., New York Ave., Nostrand Ave.",Marc And Jason's Playground,Adults Allowed,B284-CPA-0001,03/31/2020,06/22/2020,309,B-09,40.66352081298828,-73.94999694824219,POINT (-73.94999694824219 40.66352081298828)
B,Completely Locked,06/22/2020 03:22:18 PM,B358,B358,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,Harrison Ave. between Walton St. and Lorimer St.,De Hostos Playground,Adults Allowed,B358-CPA-0001,03/31/2020,06/21/2020,301,B-01,40.70249557495117,-73.9492416381836,POINT (-73.9492416381836 40.70249557495117)
R,Completely Locked,06/22/2020 02:05:24 PM,R073,R073,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Targee St, Stanwich St. Rome Ave.",Naples Playground,Unknown,R073-CPA-0001,03/31/2020,06/22/2020,502,R-02,40.6021842956543,-74.09066009521484,POINT (-74.09066009521484 40.6021842956543)
X,Completely Locked,06/22/2020 10:01:11 AM,X284,X284,,Active,No,Not Applicable,Hoe Av bet. Aldus St and Westchester Av,Printers Park,Adults not allowed in some locations,X284-CPA-0001,03/31/2020,06/21/2020,202,X-02,40.824127197265625,-73.89073944091797,POINT (-73.89073944091797 40.824127197265625)
M,Completely Locked,06/22/2020 01:38:21 PM,M165,M165,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Corner of Baruch Pl. and Mangin St.,Baruch Playground,Adults Allowed,M165-CPA-0001,03/31/2020,,103,M-03,40.71683883666992,-73.97679138183594,POINT (-73.97679138183594 40.71683883666992)
B,Completely Locked,06/22/2020 01:55:05 PM,B125,B125-01,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Bay 46 & Cropsey Ave,Calvert Vaux Park Playground,Unknown,B125-CPA-0001,03/31/2020,06/22/2020,313,B-13,40.5878791809082,-73.99063110351562,POINT (-73.99063110351562 40.5878791809082)
Q,Not Lockable,06/21/2020 12:57:52 PM,Q445,Q445-01,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,136 St & 14 Rd,136 St Playground,Adults Allowed,Q445-CPA-0001,03/31/2020,06/21/2020,407,Q-07,40.78484344482422,-73.83304595947266,POINT (-73.83304595947266 40.78484344482422)
M,Partially Locked,06/22/2020 10:41:26 AM,M077,M077-03,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,W 140 St & St Nicholas Ave,Arlington Edinboro Playground,Adults Allowed,M077-CPA-0002,03/31/2020,06/21/2020,109,M-09,40.820648193359375,-73.94677734375,POINT (-73.94677734375 40.820648193359375)
X,Completely Locked,06/22/2020 09:33:09 AM,X238,X238,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,E. 139 St. bet. Brook Ave. and Willis Ave.,Saw Mill Playground,Adults Allowed,X238-CPA-0001,03/31/2020,06/21/2020,201,X-01,40.80876159667969,-73.91918182373047,POINT (-73.91918182373047 40.80876159667969)
X,Completely Locked,06/22/2020 10:27:08 AM,X257,X257,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,E. 177 St. at Walton Ave.,Mount Hope Playground,Adults not allowed in some locations,X257-CPA-0001,03/31/2020,06/21/2020,205,X-05,40.85020446777344,-73.9095230102539,POINT (-73.9095230102539 40.85020446777344)
B,Completely Locked,06/23/2020 10:01:04 AM,B298,B298,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Park Ave., Martin Luther King Pl., Marcy Ave.",Stockton Playground,Unknown,B298-CPA-0001,03/31/2020,06/22/2020,303,B-03,40.697200775146484,-73.94819641113281,POINT (-73.94819641113281 40.697200775146484)
M,Completely Locked,06/22/2020 03:31:59 PM,M071,M071-37,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,"W 112-113 Sts, Riverside Dr",Tot Lot One Hundred And Twelve,Unknown,M071-CPA-0001,03/31/2020,06/21/2020,109,M-14,40.806461334228516,-73.96793365478516,POINT (-73.96793365478516 40.806461334228516)
M,Partially Locked,06/22/2020 11:06:31 AM,M219,M219,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,W. 78 St. and Amsterdam Ave.,Tecumseh Playground,Adults Allowed,M219-CPA-0001,03/31/2020,06/21/2020,107,M-07,40.78194046020508,-73.9788818359375,POINT (-73.9788818359375 40.78194046020508)
B,Completely Locked,06/23/2020 11:19:11 AM,B110,B110,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Hopkinson Ave. bet. Marion St. and Chauncey St.,Marion Hopkinson Playground,Adults Allowed,B110-CPA-0001,03/31/2020,06/20/2020,316,B-16,40.6817626953125,-73.91328430175781,POINT (-73.91328430175781 40.6817626953125)
Q,Not Lockable,06/19/2020 08:13:43 AM,Q107,Q107-01,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,147 Ave & 184 St,Springfield Playground,Unknown,Q107-CPA-0001,03/31/2020,06/19/2020,413,Q-13,40.660072326660156,-73.76225280761719,POINT (-73.76225280761719 40.660072326660156)
B,Completely Locked,06/22/2020 01:35:43 PM,B018,B018-01,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Seaview Ave, E 92 St",Dinapoli Plgd,Unknown,B018-CPA-0001,03/31/2020,,318,B-18,40.63092803955078,-73.89282989501953,POINT (-73.89282989501953 40.63092803955078)
B,Completely Locked,06/23/2020 10:01:04 AM,B317,B317,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Lafayette Ave. and Franklin Ave.,Lafayette Gardens Playground,Adults Allowed,B317-CPA-0001,03/31/2020,06/22/2020,303,B-03,40.68967056274414,-73.95756530761719,POINT (-73.95756530761719 40.68967056274414)
Q,Not Lockable,06/23/2020 11:00:50 AM,Q448,Q448-99,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"Near The Recreation Building, Off Baisley Blvd",Roy Wilkins Park Playground,Unknown,Q448-CPA-0002,03/31/2020,06/23/2020,412,Q-12,40.68585205078125,-73.77040100097656,POINT (-73.77040100097656 40.68585205078125)
M,Completely Locked,06/22/2020 11:09:18 AM,M010,M010-241,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,110 St & Cathedral Pkwy,110th St Plgd,Unknown,M010-CPA-0019,03/31/2020,06/21/2020,164,M-13,40.799781799316406,-73.95704650878906,POINT (-73.95704650878906 40.799781799316406)
Q,Completely Locked,06/22/2020 02:27:14 PM,Q013,Q013,,Active,No,Not Applicable,"Whitney Ave., 43 Ave., bet. Judge St. and Ketcham St.",Veterans Grove,Adults not allowed in some locations,Q013-CPA-0001,03/31/2020,06/22/2020,404,Q-04,40.74272155761719,-73.87754821777344,POINT (-73.87754821777344 40.74272155761719)
B,Not Lockable,06/22/2020 03:28:45 PM,B060,B060-01,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"74-75 Sts, Ft Hamilton Pkwy",McKinley Park Playground,Adults not allowed in some locations,B060-CPA-0001,03/31/2020,06/22/2020,310,B-10,40.62654113769531,-74.0171127319336,POINT (-74.0171127319336 40.62654113769531)
Q,Completely Locked,06/22/2020 03:16:30 PM,Q340,Q340,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Skillman Ave. bet. 41 St. and 43 St.,Torsney Playground,Adults not allowed in some locations,Q340-CPA-0001,03/31/2020,06/22/2020,402,Q-02,40.74735641479492,-73.9225082397461,POINT (-73.9225082397461 40.74735641479492)
M,Completely Locked,06/22/2020 05:19:45 PM,M203D,M203D,,Active,No,Not Applicable,E. 42 St. bet. 1 Ave. and 2 Ave.,Mary O'Connor Playground,Adults not allowed in some locations,M203D-CPA-0001,03/31/2020,06/21/2020,106,M-06,40.74953842163086,-73.9708023071289,POINT (-73.9708023071289 40.74953842163086)
B,Completely Locked,06/22/2020 12:20:00 PM,B149A,B149A,,Active,No,Not Applicable,Elton St. bet. New Lots Ave. and Hegeman Ave.,Elton Playground,Adults Allowed,B149A-CPA-0001,03/31/2020,06/20/2020,305,B-05,40.66619873046875,-73.88101196289062,POINT (-73.88101196289062 40.66619873046875)
Q,Partially Locked,06/23/2020 11:06:50 AM,Q300A,Q300A-01,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Peck Ave & 188 St,Underhill Playground,Unknown,Q300A-CPA-0001,03/31/2020,06/23/2020,411,Q-11,40.74478530883789,-73.78789520263672,POINT (-73.78789520263672 40.74478530883789)
M,Completely Locked,06/22/2020 11:14:47 AM,M010,M010-031,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"62 St, Bet West & Center Drs",Heckscher Plgd,Unknown,M010-CPA-0001,03/31/2020,06/21/2020,164,M-13,40.76862716674805,-73.977294921875,POINT (-73.977294921875 40.76862716674805)
B,Completely Locked,06/22/2020 01:42:16 PM,B353,B353,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,E. 71 St. between Ave. N and Ave. T,Bergen Beach Playground,Adults Allowed,B353-CPA-0001,03/31/2020,06/22/2020,318,B-18,40.62224578857422,-73.90968322753906,POINT (-73.90968322753906 40.62224578857422)
B,Completely Locked,06/22/2020 01:55:05 PM,B268,B268,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Public Beach, W. 29 St. and W. 32 St.",Nautilus Playground,Adults Allowed,B268-CPA-0001,03/31/2020,06/22/2020,313,B-13,40.571693420410156,-73.99566650390625,POINT (-73.99566650390625 40.571693420410156)
Q,Not Lockable,06/21/2020 03:03:32 PM,Q220B,Q220B,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Van Wyck Exwy. Sr. Rd. E., 142 St., 106 Ave.",Norelli-Hargreaves Playground,Adults Allowed,Q220B-CPA-0001,03/31/2020,06/21/2020,412,Q-12,40.690616607666016,-73.80909729003906,POINT (-73.80909729003906 40.690616607666016)
B,Completely Locked,06/23/2020 10:08:49 AM,B287,B287,,,,,,Andries Playground,,,03/31/2020,06/22/2020,314,B-14,40.622833251953125,-73.94645690917969,POINT (-73.94645690917969 40.622833251953125)
X,Completely Locked,06/22/2020 10:03:39 AM,X116,X116,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,Rev James Polite Av to Interval Av bet. E 167 St and Home St,Rev J Polite Playground,Adults Allowed,X116-CPA-0001,03/31/2020,06/21/2020,202,X-02,40.82677459716797,-73.89749908447266,POINT (-73.89749908447266 40.82677459716797)
M,Completely Locked,06/22/2020 04:11:41 PM,M277,M277,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,10 Ave. bet. W. 47 St. and W. 48 St.,Hell's Kitchen Park,Adults Allowed,M277-CPA-0001,03/31/2020,06/21/2020,104,M-04,40.76294708251953,-73.99261474609375,POINT (-73.99261474609375 40.76294708251953)
X,Completely Locked,06/22/2020 10:49:18 AM,X002,X002-08,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"E 204 St, W/s Bronx Park",French Charley Plgd,Adults not allowed in some locations,X002-CPA-0005,03/31/2020,06/21/2020,227,X-14,40.869937896728516,-73.87626647949219,POINT (-73.87626647949219 40.869937896728516)
M,Completely Locked,06/22/2020 03:16:53 PM,M098,M098-01,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"Washington Sq N, Washington Sq E",Washington Square Park,Adults not allowed in some locations,M098-CPA-0002,03/31/2020,06/21/2020,102,M-02,40.730770111083984,-73.99664306640625,POINT (-73.99664306640625 40.730770111083984)
Q,Partially Locked,06/21/2020 10:11:32 AM,Q001A,Q001A-01,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Winchester Blvd, Union Tpke",Alley Athletic Playground,Unknown,Q001A-CPA-0001,03/31/2020,06/21/2020,413,Q-07A,40.739402770996094,-73.73432159423828,POINT (-73.73432159423828 40.739402770996094)
Q,Completely Locked,06/21/2020 11:32:45 AM,Q317,Q317,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,64 Ave. bet. 218 St. and 219 St.,Tall Oak Playground,Adults Allowed,Q317-CPA-0001,03/31/2020,06/21/2020,411,Q-11,40.74629592895508,-73.7580795288086,POINT (-73.7580795288086 40.74629592895508)
